Iteration: 00000000/00170000  content_loss:0.0000  lap_loss:4.4789  rec_loss:0.0722  style_loss:0.7047  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000010/00170000  content_loss:0.0000  lap_loss:0.8275  rec_loss:0.0505  style_loss:1.0030  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000020/00170000  content_loss:0.0000  lap_loss:1.2668  rec_loss:0.0931  style_loss:2.3427  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000030/00170000  content_loss:0.0000  lap_loss:0.8758  rec_loss:0.0723  style_loss:1.0363  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000040/00170000  content_loss:0.0000  lap_loss:0.4676  rec_loss:0.0480  style_loss:1.1040  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000050/00170000  content_loss:0.0000  lap_loss:0.4861  rec_loss:0.0627  style_loss:0.5599  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000060/00170000  content_loss:0.0000  lap_loss:1.1550  rec_loss:0.0736  style_loss:3.3091  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000070/00170000  content_loss:0.0000  lap_loss:0.3127  rec_loss:0.0874  style_loss:1.9579  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000080/00170000  content_loss:0.0000  lap_loss:0.1515  rec_loss:0.0418  style_loss:0.8800  loss_tmp:0.0000  loss_tmp_GT:0.0000
